shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape_manual-1770916792369_rev,19.5576749,-99.1919279,50
shape_manual-1770916792369_rev,19.5563124,-99.1901869,51
shape_manual-1770916792369_rev,19.5553565,-99.1892251,52
shape_manual-1770916792369_rev,19.554532853586032,-99.18859940186385,53
shape_manual-1770916792369_rev,19.55350134725257,-99.1882023347805,54
shape_manual-1770916792369_rev,19.54759697522023,-99.1866895012278,55
shape_manual-1770916792369_rev,19.5432517,-99.185605,56
shape_manual-1770916792369_rev,19.53896183193734,-99.1844469525392,57
shape_manual-1770916792369_rev,19.536282899842302,-99.18392133160121,58
shape_manual-1770916792369_rev,19.532632452522762,-99.1829449019572,59
shape_manual-1770916792369_rev,19.52987269286301,-99.18174346449656,60
shape_manual-1770916792369_rev,19.5263672,-99.1801142,61
shape_manual-1770916792369_rev,19.52503908360426,-99.17957632081455,62
shape_manual-1770916792369_rev,19.523491538946857,-99.17908266984608,63
shape_manual-1770916792369_rev,19.521126432565353,-99.17865354888451,64
shape_manual-1770916792369_rev,19.5178446,-99.1786023,65
shape_manual-1770916792369_rev,19.5143923,-99.1782492,66
shape_manual-1770916792369_rev,19.51086117820732,-99.17780584903278,67
shape_manual-1770916792369_rev,19.508950312380165,-99.17735266397861,68
shape_manual-1770916792369_rev,19.506801283675266,-99.17678399371309,69
shape_manual-1770916792369_rev,19.50553277070874,-99.17641403969373,70
shape_manual-1770916792369_rev,19.504153,-99.1759644,71
shape_manual-1770916792369_rev,19.50130426525392,-99.17472666225677,72
shape_manual-1770916792369_rev,19.49918104476099,-99.17385266000771,73
shape_manual-1770916792369_rev,19.493576643891224,-99.17174938588963,74
shape_manual-1770916792369_rev,19.4909916,-99.1707288,75
shape_manual-1770916792369_rev,19.4851553,-99.1684515,76
shape_manual-1770916792369_rev,19.472785742945366,-99.16364052414795,77
shape_manual-1770916792369_rev,19.4694682,-99.1622009,78
shape_manual-1770916792369_rev,19.4676281,-99.1613283,79
shape_manual-1770916792369_rev,19.46562211892052,-99.15977716874251,80
shape_manual-1770916792369_rev,19.45728439515954,-99.15342409540908,81
shape_manual-1770916792369_rev,19.455847511109376,-99.15245825655772,82
shape_manual-1770916792369_rev,19.4549074,-99.1521092,83
shape_manual-1770916792369_rev,19.4523191,-99.1512764,84
shape_manual-1770916792369_rev,19.4482368,-99.1519586,85
